INFO:root:Generation 28, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 29, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 30, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 31, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 32, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 33, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 34, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 35, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 36, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 37, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 38, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 39, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 40, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 41, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 42, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 43, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 44, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 45, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 46, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 47, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 48, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 49, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 50, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 51, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 52, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 53, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 54, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 55, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 56, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 57, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1111110100
INFO:root:Generation 2, Best fitness: 8, Individual: 1111110101
INFO:root:Generation 3, Best fitness: 9, Individual: 111111H111
INFO:root:Generation 4, Best fitness: 9, Individual: 111111H111
INFO:root:Generation 5, Best fitness: 9, Individual: 111111H111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1101010111
INFO:root:Generation 2, Best fitness: 8, Individual: 1011011111
INFO:root:Generation 3, Best fitness: 8, Individual: 1011011111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 0011110011
INFO:root:Generation 2, Best fitness: 7, Individual: 1011110011
INFO:root:Generation 3, Best fitness: 8, Individual: 1111110011
INFO:root:Generation 4, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
